ref,query,dim,k,problem size,simt time(ms),tc time(ms),speedup
8192,32,32,16,134217728,3.40253,3.34554,1.0170346192244002
8192,32,64,16,268435456,3.50442,3.41812,1.0252477970346272
8192,32,128,16,536870912,3.60189,3.57963,1.0062185197911517
8192,32,256,16,1073741824,3.92002,3.86531,1.0141541040692725
8192,32,512,16,2147483648,4.94295,5.03092,0.9825141326039769
8192,32,1024,16,4294967296,7.32265,7.32332,0.9999085114401666
8192,32,2048,16,8589934592,13.0975,12.5043,1.047439680749822
8192,64,2,16,16777216,3.34383,3.29259,1.0155622169781235
8192,64,4,16,33554432,3.38674,3.43651,0.9855172835231092
8192,64,8,16,67108864,3.36515,3.36751,0.9992991854515652
8192,64,16,16,134217728,3.40728,3.37065,1.0108673401272752
8192,64,32,16,268435456,2.83916,3.33838,0.8504604029499339
8192,64,64,16,536870912,3.37431,3.4464,0.9790825208913648
8192,64,128,16,1073741824,3.67051,3.65564,1.0040676871902048
8192,64,256,16,2147483648,4.37073,3.96257,1.1030038586069142
8192,64,512,16,4294967296,5.09176,5.08182,1.0019559921445467
8192,64,1024,16,8589934592,7.29648,7.33766,0.9943878566191402
8192,64,2048,16,17179869184,12.5269,13.2104,0.9482604614546115
8192,128,2,16,33554432,3.31811,3.4005,0.9757712101161593
8192,128,4,16,67108864,2.86557,3.41038,0.8402494736656912
8192,128,8,16,134217728,3.42595,3.42545,1.0001459662234158
8192,128,16,16,268435456,2.81821,3.31827,0.8493009911791386
8192,128,32,16,536870912,3.3727,3.31618,1.0170437069157887
